minutely,show_id,rating,director,duration,weighted_average_vote,total_votes,description,type,release_year,imdb_title_id,month_added,original_title,country,date_added,listed_in,title,season_duration,minute_duration,cast,year_added,seasonly
1,s305,TV-MA,Salvador Calvo,120 min,6.7,1693,"Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",Movie,2020,tt9616700,July,Adú,Spain,2020-07-01 00:00:00,"Dramas, International Movies",Adú,0,120,"Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas",2020,0
1,s317,TV-MA,Jennifer Phang,92 min,6.2,4552,"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.",Movie,2015,tt3090670,June,Advantageous,United States,2015-06-23 00:00:00,"Dramas, Independent Movies, Sci-Fi & Fantasy",Advantageous,0,92,"Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth",2015,0
1,s319,TV-14,S.A. Zaidi,90 min,1.6,221,Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,Movie,2016,tt5314138,May,Aerials,United Arab Emirates,2020-05-07 00:00:00,"International Movies, Sci-Fi & Fantasy",Aerials,0,90,"Saga Alyasery, Ana Druzhynina, Mansour Al Felei, Mohammad Abu Diak, Pascale Matar, Luke Coutts, Abeer Mohammed",2020,0
1,s324,PG-13,Jenny Gage,106 min,5.4,30745,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",Movie,2019,tt4126476,October,After,United States,2019-10-09 00:00:00,"Dramas, Romantic Movies",After,0,106,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",2019,0
1,s331,R,Elliott Lester,94 min,4.7,1697,"After an air traffic controller's mistake results in a tragic accident, a man who lost his wife and daughter seeks answers from the man responsible.",Movie,2017,tt1564368,March,Aftermath,"United Kingdom, United States",2020-03-15 00:00:00,Dramas,Aftermath,0,94,"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson, Glenn Morshower, Hannah Ware, Mo McRae, Martin Donovan, Larry Sullivan, Mariana Klaveno, Kevin Zegers, Lewis Pullman",2020,0
1,s332,TV-MA,Antonio Campos,107 min,6.1,4166,"When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.",Movie,2008,tt1224366,August,Afterschool,United States,2020-08-13 00:00:00,"Dramas, Independent Movies",Afterschool,0,107,"Ezra Miller, Addison Timlin, Jeremy Allen White, Michael Stuhlbarg, Emory Cohen, David Costabile, Rosemarie DeWitt, Dariusz M. Uczkowski, Gary Wilmes, Paul Sparks, Alexandra Neil, Lee Wilkof",2020,0
1,s333,R,Nicolás López,89 min,4.8,11087,"An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.",Movie,2012,tt1780762,March,Aftershock,"United States, Chile",2018-03-07 00:00:00,"Action & Adventure, Horror Movies",Aftershock,0,89,"Eli Roth, Andrea Osvárt, Ariel Levy, Natasha Yarovenko, Nicolás Martínez, Lorenza Izzo, Marcial Tagle, Ramón Llao, Ignacia Allamand, Paz Bascuñán",2018,0
1,s344,TV-14,Mukul Anand,174 min,6.9,21895,"A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",Movie,1990,tt1849718,April,Agneepath,India,2020-04-01 00:00:00,"Dramas, International Movies",Agneepath,0,174,"Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh",2020,0
1,s346,TV-14,Ram Gopal Varma,97 min,2.9,594,A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.,Movie,2009,tt1415252,October,Agyaat,India,2018-10-01 00:00:00,"Horror Movies, International Movies",Agyaat,0,97,"Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer",2018,0
1,s347,TV-14,Shivam Nair,122 min,7.0,1408,"Stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back.",Movie,2006,tt0831840,December,Ahista Ahista,India,2019-12-31 00:00:00,"Dramas, International Movies, Romantic Movies",Ahista Ahista,0,122,"Abhay Deol, Soha Ali Khan, Shayan Munshi, Kamini Khanna, Sohrab Ardeshir, Murad Ali, Shakeel Khan, Natasha Sinha, Brijendra Kala",2019,0
1,s353,TV-PG,César Rodrigues,97 min,3.5,3292,"When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.",Movie,2020,tt5617916,January,Airplane Mode,United States,2020-01-23 00:00:00,"Comedies, International Movies, Romantic Movies",Airplane Mode,0,97,"Larissa Manoela, André Luiz Frambach, Erasmo Carlos, Mariana Amâncio, Amanda Orestes, Eike Duarte, Nayobe Nzainab, Katiuscia Canoro, Phellyx Moura, Dani Ornellas, Michel Bercovitch, Sílvia Lourenço",2020,0
1,s355,TV-14,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",153 min,6.6,9394,A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.,Movie,2004,tt0418460,March,Aitraaz,India,2018-03-01 00:00:00,"International Movies, Music & Musicals, Romantic Movies",Aitraaz,0,153,"Akshay Kumar, Kareena Kapoor, Priyanka Chopra, Amrish Puri, Paresh Rawal, Annu Kapoor",2018,0
1,s356,TV-MA,Neeraj Pandey,158 min,5.3,3881,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs.",Movie,2018,tt6774212,May,Aiyaary,India,2018-05-15 00:00:00,"Action & Adventure, Dramas, International Movies",Aiyaary,0,158,"Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Adil Hussain, Kumud Mishra, Naseeruddin Shah, Anupam Kher, Vikram Gokhale, Juhi Babbar",2018,0
1,s357,TV-14,Sachin Kundalkar,151 min,4.4,1660,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.",Movie,2012,tt2255934,July,Aiyyaa,India,2020-07-05 00:00:00,"Comedies, International Movies, Music & Musicals",Aiyyaa,0,151,"Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave, Jyoti Subhash, Satish Alekar, Anita Date, Amey Wagh, Kishori Balal, Pakoda Pandi",2020,0
1,s359,TV-14,Rajkumar Santoshi,150 min,6.3,12278,"A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.",Movie,2009,tt1252596,October,Ajab Prem Ki Ghazab Kahani,India,2020-10-25 00:00:00,"Comedies, International Movies, Music & Musicals",Ajab Prem Ki Ghazab Kahani,0,150,"Ranbir Kapoor, Katrina Kaif, Govind Namdeo, Darshan Jariwala, Zakir Hussain, Smita Jaykar, Navneet Nishan, Dolly Bindra, Upen Patel",2020,0
1,s362,TV-MA,Devashish Makhija,105 min,6.9,800,"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge.",Movie,2017,tt6471054,May,Ajji,India,2018-05-01 00:00:00,"Dramas, International Movies",Ajji,0,105,"Sushama Deshpande, Abhishek Banerjee, Smita Tambe, Sharvani Suryavanshi, Vikas Kumar, Sadiya Siddiqui, Sudhir Pandey, Manuj Sharma",2018,0
1,s369,TV-14,Trivikram Srinivas,162 min,7.1,6254,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.",Movie,2020,tt9537292,February,Ala Vaikunthapurramuloo,India,2020-02-27 00:00:00,"Action & Adventure, Comedies, Dramas",Ala Vaikunthapurramuloo,0,162,"Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",2020,0
1,s374,TV-MA,Soumitra Ranade,85 min,5.6,350,"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society.",Movie,2019,tt4355838,December,Albert Pinto Ko Gussa Kyun Aata Hai?,India,2019-12-31 00:00:00,"Dramas, Independent Movies, International Movies",Albert Pinto Ko Gussa Kyun Aata Hai?,0,85,"Nandita Das, Manav Kaul, Saurabh Shukla, Kishore Kadam, Omkar Das Manikpuri, Amarjeet Amle, Yusuf Hussain, Sushma Bakshi",2019,0
1,s375,TV-PG,Castille Landon,106 min,5.2,1351,"After a magical horse transports her to a fantasy world ruled by an evil general, a brave girl sets out to save the land once and for all.",Movie,2016,tt4518260,July,Albion: The Enchanted Stallion,"United States, Bulgaria",2017-07-01 00:00:00,Children & Family Movies,Albion: The Enchanted Stallion,0,106,"Daniel Sharman, Jennifer Morrison, Debra Messing, Stephen Dorff, John Cleese, Liam McIntyre, Richard Kind, Avery Arendes, Castille Landon",2017,0
1,s378,TV-MA,Leticia Jorge Romero,88 min,6.4,235,"Mourning their father's death, a dysfunctional trio of siblings must face selling their beloved childhood beach house — and dealing with each other.",Movie,2019,tt10984818,April,Alelí,"Uruguay, Argentina",2020-04-16 00:00:00,"Comedies, Dramas, International Movies",Alelí,0,88,"Néstor Guzzini, Mirella Pascual, Cristina Morán, Romina Peluffo, Laila Reyes Silberberg, Pablo Tate, Gerónimo Pizzanelli, Georgina Yankelevich, Julio Icasuriaga, Carla Moscatelli",2020,0
1,s380,TV-MA,Craig Johnson,100 min,6.3,14199,High school senior Alex Truelove's plan to lose his virginity to lovable girlfriend Claire goes awry when he meets the equally lovable Elliot.,Movie,2018,tt5688996,June,Alex Strangelove,United States,2018-06-08 00:00:00,"Comedies, Dramas, Independent Movies",Alex Strangelove,0,100,"Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Annie Q., Nik Dodani, Fred Hechinger, Kathryn Erbe, Isabella Amara, Sophie Faulkenberry",2018,0
1,s386,TV-MA,Cem Yılmaz,115 min,5.8,18122,"A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss.",Movie,2015,tt4728338,July,Ali Baba ve 7 Cüceler,Turkey,2020-07-01 00:00:00,"Action & Adventure, Comedies, International Movies",Ali Baba ve 7 Cüceler,0,115,"Cem Yılmaz, Irina Ivkina, Çetin Altay, Zafer Algöz, Can Yılmaz, Bahtiyar Engin, Fevzi Gökçe, Yosi Mizrahi",2020,0
1,s392,TV-14,"Latif Faiziyev, Umesh Mehra",147 min,6.2,477,A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.,Movie,1980,tt0079749,January,Alibaba Aur 40 Chor,"Soviet Union, India",2018-01-15 00:00:00,"Action & Adventure, International Movies, Sci-Fi & Fantasy",Alibaba Aur 40 Chor,0,147,"Dharmendra, Hema Malini, Zeenat Aman, Rolan Bykov, Prem Chopra, Yakub Akhmedov, Madan Puri, Sofiko Chiaureli",2018,0
